Perusahaan,Negara_Asal
ABBOTT INDONESIA,Indonesia
ACTAVIS INDONESIA,Indonesia
AFIAT,Indonesia
AFIFARMA,Indonesia
AMAROX PHARMA GLOBAL,Indonesia
ANVITA PHARMA INDONESIA,Indonesia
ARTO PHARMA INDONESIA,Indonesia
ASTRAZENECA INDONESIA,Indonesia
AVENTIS PHARMA,Indonesia
B.BRAUN PHARMACEUTICAL INDONESIA,Indonesia
BALATIF,Indonesia
BAYER INDONESIA,Indonesia
BERKAT SENTRAL ABADI FARMA,Indonesia
BERLICO MULIA FARMA,Indonesia
BERNOFARM,Indonesia
BETA PHARMACON,Indonesia
BINTANG TOEDJOE,Indonesia
BIO FARMA,Indonesia
BIO KUSUMA,Indonesia
BIOTIS PHARMACEUTICALS INDONESIA,Indonesia
BOEHRINGER INGELHEIM INDONESIA,Indonesia
BROMO PHARMACEUTICAL INDUSTRIES,Indonesia
BUFA ANEKA,Indonesia
CAHAYA MANDIRI FARMA,Indonesia
CANDRA NUSANTARA JAYA,Indonesia
CAPRIFARMINDO LABORATORIES,Indonesia
CASPER PHARMACEUTICAL INDUSTRY,Indonesia
CATUR DAKWAH CRANE FARMASI,Indonesia
CENDO,Indonesia
CIUBROS FARMA,Indonesia
CKD OTTO Pharmaceuticals,Indonesia
COMBIPHAR,Indonesia
COMBIPHAR DONGA INDONESIA,Indonesia
CORONET CROWN,Indonesia
CORSA INDUSTRIES,Indonesia
DAEWOONG INFION,Indonesia
DAEWOONG PHARMACEUTICAL INDONESIA,Indonesia
DANKOS FARMA,Indonesia
DARYA-VARIA LABORATORIA TBK,Indonesia
DEGEPHARM,Indonesia
DEXA MEDICA,Indonesia
DION FARMA ABADI,Indonesia
DIPA PHARMALAB INTERSAINS,Indonesia
DUTA KAISAR PHARMACY,Indonesia
"EISAI CO., LTD.",Japan
EISAI INDONESIA,Indonesia
EMDI MELIA PHARMA,Indonesia
EMJEBE PHARMA,Indonesia
ERELA,Indonesia
ERLANGGA EDI LABORATORIES (ERELA),Indonesia
ERLIMPEX,Indonesia
ERRITA PHARMA,Indonesia
ETANA BIOTECHNOLOGIES INDONESIA,Indonesia
ETERCON PHARMA,Indonesia
ETHICA INDUSTRI FARMASI (SITE JABABEKA),Indonesia
FARATU,Indonesia
FARMASI LAUREL,Indonesia
FERRING PHARMACEUTICALS INDUSTRY,Indonesia
FERRON PAR PHARMACEUTICALS,Indonesia
FINUSOLPRIMA FARMA INTERNASIONAL,Indonesia
FIRST MEDIPHARMA,Indonesia
FONKO INTERNATIONAL PHARMACEUTICALS,Indonesia
FRESENIUS KABI COMBIPHAR,Indonesia
GALENIUM PHARMASIA LABORATORIES,Indonesia
GENERO PHARMACEUTICALS,Indonesia
GLAXO WELLCOME INDONESIA,Indonesia
GLOBAL MULTI PHARMALAB,Indonesia
GLOBAL ONKOLAB FARMA,Indonesia
GRACIA PHARMINDO,Indonesia
GRAHA FARMA,Indonesia
GRATIA HUSADA FARMA,Indonesia
GUARDIAN PHARMATAMA,Indonesia
HARBAT FARMA,Indonesia
HARSEN,Indonesia
HARSEN LABORATORIES,Indonesia
HENSON FARMA,Indonesia
HERMED,Indonesia
HEXPHARM JAYA LABORATORIES,Indonesia
HOLI PHARMA,Indonesia
IFARS PHARMACEUTICAL LABORATORIES,Indonesia
IKAPHARMINDO PUTRAMAS,
IKAPHARMINDO PUTRAMAS Tbk.,Indonesia
IMEDCO DJAJA,Indonesia
IMFARMIND FARMASI INDUSTRI,Indonesia
IMMORTAL PHARMACEUTICAL LABORATORIES,Indonesia
INDO ABADI SARIMAKMUR,Indonesia
INDOFARMA,Indonesia
INFION,Indonesia
INNA PHARMACEUTICAL INDUSTRY,Indonesia
INTEGRATED HEALTHCARE INDONESIA,Indonesia
INTERBAT,Indonesia
INTIJAYA META RATNA PHARMINDO,Indonesia
IPHA LABORATORIES,Indonesia
IRAWAN DJAJA AGUNG,Indonesia
ITRASAL,Indonesia
Jakarta Biopharmaceutical industry,Indonesia
KALBE FARMA,Indonesia
KALBIO GLOBAL MEDIKA,Indonesia
KALVENTIS SINERGI FARMA,Indonesia
KIMIA FARMA Tbk.,Indonesia
"KIMIA FARMA, Jakarta",Indonesia
KINO INDONESIA TBK,Indonesia
KONIMEX,Indonesia
LAPI LABORATORIES,Indonesia
LEMBAGA FARMASI ANGKATAN LAUT DRS.MOCHAMAD KAMAL,Indonesia
LEMBAGA FARMASI ANGKATAN UDARA ROOSTYAN EFFENDIE,Indonesia
LEMBAGA FARMASI PUSAT KESEHATAN ANGKATAN DARAT,Indonesia
LESSENTIAL,Indonesia
LLOYD PHARMA INDONESIA,Indonesia
LUCAS DJAJA,Indonesia
MAHAKAM BETA FARMA,Indonesia
MARIN LIZA FARMASI,Indonesia
MECCAYA,Indonesia
MECOSIN INDONESIA,Indonesia
MEDIFARMA LABORATORIES,Indonesia
MEDIKON PRIMA LABORATORIES,Indonesia
MEGA ESA FARMA,Indonesia
MEGA LIFESCIENCES INDONESIA,Indonesia
MEIJI INDONESIAN PHARMACEUTICAL INDUSTRIES,Indonesia
MENARINI INDRIA LABORATORIES,Indonesia
MEPROFARM,Indonesia
MERCK TBK,Indonesia
MERSIFARMA TIRMAKU MERCUSANA,Indonesia
METISKA FARMA,Indonesia
MIDIX GRAHA FARMA,Indonesia
MITSUBISHI TANABE PHARMA INDONESIA,Indonesia
MOLEX AYUS,Indonesia
MUDITA KARUNA,Indonesia
MULIA FARMA SUCI,Indonesia
MUTIARA MUKTI FARMA,Indonesia
NATURA LABORATORIA PRIMA,Indonesia
NELLCO INDOPHARMA,Indonesia
NICHOLAS LABORATORIES INDONESIA,Indonesia
NOVAPHARIN,Indonesia
NOVARTIS INDONESIA,Indonesia
NOVELL PHARMACEUTICAL LAB.,Indonesia
NOVELL PHARMACEUTICAL LABORATORIES,Indonesia
NOVELL PHARMACEUTICAL LABORATORIES,
NUFARINDO,Indonesia
NULAB PHARMACEUTICAL INDONESIA,Indonesia
ORGANON PHARMA INDONESIA TBK,Indonesia
ORYZA FARMA INDONESIA,Indonesia
OTSUKA INDONESIA,Indonesia
OTTO PHARMACEUTICAL INDUSTRIES,Indonesia
PABRIK PHARMASI DAN KIMIA DASA ESA FARMA,Indonesia
PABRIK PHARMASI ZENITH,Indonesia
PERTIWI AGUNG,Indonesia
PERUSAHAAN DAGANG DAN INDUSTRI KALIROTO,Indonesia
PERUSAHAAN DAGANG DAN INDUSTRIE ITRASAL,Indonesia
PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA,Indonesia
PFIZER INDONESIA,Indonesia
PHAPROS Tbk,Indonesia
PHARMA HEALTH CARE,Indonesia
PHARMA LABORATORIES,Indonesia
PHAROS INDONESIA,Indonesia
PIM PHARMACEUTICALS,Indonesia
PRATAPA NIRMALA,Indonesia
PRIMA MEDIKA LABORATORIES,Indonesia
PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia
PYRIDAM FARMA TBK,Indonesia
QUANTUM LABORATORIS INTERNASIONAL,Indonesia
RAMA EMERALD MULTI SUKSES,Indonesia
RATANSHA PURNAMA ABADI,Indonesia
ROHTO LABORATORIES INDONESIA,Indonesia
ROI SURYA PRIMA FARMA,Indonesia
SAKA FARMA LABORATORIES,Indonesia
SAMATOR PHARMACEUTICAL,Indonesia
SAMCO FARMA,Indonesia
SAMIE SAHARI,Indonesia
SAMPHARINDO PERDANA,Indonesia
SAMPHARINDO RETROVIRAL INDONESIA,Indonesia
SANBE FARMA,Indonesia
SANDAI FARMA,Indonesia
SANO GRATIA FARMA,Indonesia
SATORIA ANEKA INDUSTRI,Indonesia
SATRIA BUMIKERTA - AMIDA FARMA,Indonesia
SEJAHTERA LESTARI FARMA,Indonesia
SIMEX PHARMACEUTICAL INDONESIA,Indonesia
SMITHKLINE BEECHAM PHARMACEUTICALS,Indonesia
SOHO INDUSTRI PHARMASI,Indonesia
SOLAS LANGGENG SEJAHTERA,Indonesia
STERLING PRODUCTS INDONESIA,Indonesia
SUMBER TANUSHU PHARMACEUTICAL INDUSTRI,Indonesia
SUNTHI SEPURI,Indonesia
SUPRA FERBINDO FARMA,Indonesia
SURYA DERMATO MEDICA LABORATORIES,Indonesia
SYDNA FARMA,Indonesia
TAISHO PHARMACEUTICAL INDONESIA,Indonesia
TAKEDA INDONESIA,Indonesia
TANABE INDONESIA,Indonesia
TEMPO SCAN INDUSTRY,Indonesia
TEMPO SCAN PACIFIC Tbk,Indonesia
TRIFA RAYA LABORATORIES,Indonesia
TRIMAN,Indonesia
TRIYASA NAGAMAS FARMA,Indonesia
TROPICA MAS PHARMACEUTICALS,Indonesia
TUNGGAL IDAMAN ABDI,Indonesia
ULTRA SAKTI,Indonesia
UNITED FARMATIC INDONESIA,Indonesia
UNIVERSAL PHARM. INDUSTRIES,Indonesia
UNIVERSAL PHARMACEUTICAL INDUSTRIES,Indonesia
VARIA SEKATA PHARMACEUTICAL LABORATORIES,Indonesia
WIDATRA BHAKTI,Indonesia
WIGO HEALTH INDONESIA,Indonesia
XENXO FARMA,Indonesia
YARINDO FARMATAMA,Indonesia
YEKATRIA FARMA,Indonesia
YSP INDUSTRIES INDONESIA,Indonesia
